"Success Criterion","Level","Description (Layman)","Instructions for Product Owners","Simple Example"
"1.1.1 Non-text Content","A","All images, icons, and non-text content must have a text alternative.","Add alt text to images, icons, and buttons. Use descriptive text for decorative images if they convey meaning.","An image of a cat has alt=""Gray tabby cat sleeping on a windowsill."""
"1.2.1 Audio-only and Video-only (Pre-recorded)","A","Audio-only and video-only content must have a text alternative.","Provide a transcript for audio-only, and a description for video-only content.","A podcast episode has a text transcript below the audio player."
"1.2.2 Captions (Pre-recorded)","A","Videos with spoken content must have captions.","Add synchronized captions to all videos with audio.","A lecture video has captions at the bottom."
"1.2.3 Audio Description or Media Alternative (Pre-recorded)","A","Videos with important visual information not in the audio must have an audio description or text alternative.","Provide an audio description track or a text alternative for visual-only information in videos.","A video of a science experiment includes an audio track describing the steps."
"1.2.4 Captions (Live)","AA","Live videos with audio must have captions.","Provide live captions for live-streamed events.","A live news broadcast has real-time captions."
"1.2.5 Audio Description (Pre-recorded)","AA","Pre-recorded videos with important visual information must have an audio description.","Provide an audio description track for videos with visual-only content.","A video tutorial includes an audio description of what’s happening on screen."
"1.3.1 Info and Relationships","A","Headings, lists, and form fields must be marked up so their structure is clear to assistive technology.","Use proper HTML tags for headings, lists, and form fields.","Use<h1>for main headings and<label>for form fields."
"1.3.2 Meaningful Sequence","A","Content must be presented in a logical order that makes sense when read aloud.","Arrange content so it flows logically, even when read by a screen reader.","A news article has the headline first, followed by the body text."
"1.3.3 Sensory Characteristics","A","Instructions must not rely solely on shape, size, or location.","Include text descriptions for instructions, not just ""click the button on the left.""","""Click the 'Submit' button at the bottom of the form."""
"1.3.4 Orientation","AA","Content must work in both portrait and landscape modes unless essential.","Avoid locking screen orientation; let users rotate their device.","A form can be filled out in both portrait and landscape on a mobile device."
"1.3.5 Identify Input Purpose","AA","Form fields must be identified so assistive technology knows what to expect.","Useautocompleteandaria-labelfor form fields.","A ""Name"" field usesautocomplete=""name""."
"1.4.1 Use of Color","A","Color must not be the only way to convey information.","Use text or icons in addition to color to indicate status.","""Required fields are marked with an asterisk and the word 'Required.'"""
"1.4.2 Audio Control","A","Users must be able to pause or stop audio that plays automatically for more than 3 seconds.","Provide a pause/stop button for any auto-playing audio.","A background music track has a visible stop button."
"1.4.3 Contrast (Minimum)","AA","Text must have sufficient contrast with its background.","Use a contrast ratio of at least 4.5:1 for normal text.","Black text on white background."
"1.4.4 Resize Text","AA","Users must be able to resize text up to 200% without loss of content or function.","Test your site with text zoomed to 200%.","All content remains readable and usable when zoomed in."
"1.4.5 Images of Text","AA","Avoid using images of text unless necessary.","Use real text instead of images of text whenever possible.","Use a heading tag instead of an image with text inside."
"1.4.10 Reflow","AA","Content must reflow and not require horizontal scrolling when zoomed.","Ensure content adapts to screen size and zoom.","A webpage fits on a mobile screen without horizontal scrolling."
"1.4.11 Non-text Contrast","AA","UI components and graphics must have sufficient contrast.","Use a contrast ratio of at least 3:1 for icons and controls.","Navigation buttons have a dark border on a light background."
"1.4.12 Text Spacing","AA","Users must be able to adjust text spacing for readability.","Allow users to override text spacing in CSS.","User styles can increase line height and letter spacing."
"1.4.13 Content on Hover or Focus","AA","Additional content on hover/focus must be dismissible, hoverable, and persistent.","Make sure pop-ups can be dismissed without moving the pointer.","A tooltip appears on hover and stays until dismissed."
"2.1.1 Keyboard","A","All functionality must be available via keyboard.","Test all features with keyboard only (Tab, Enter, Arrow keys).","Users can navigate a form and submit it with just the keyboard."
"2.1.2 No Keyboard Trap","A","Users must not get stuck in any part of the site using keyboard navigation.","Ensure Tab and Shift+Tab always move focus forward and backward.","After opening a modal, users can close it with the keyboard."
"2.1.4 Character Key Shortcuts","A","If single-key shortcuts are used, users must be able to turn them off or change them.","Allow users to disable or remap single-key shortcuts.","A user can disable the ""S"" key shortcut for search."
"2.2.1 Timing Adjustable","A","Users must be able to extend or turn off time limits.","Provide options to adjust or disable time limits.","A quiz allows extra time or can be paused."
"2.2.2 Pause, Stop, Hide","A","Users must be able to pause, stop, or hide moving content.","Provide controls for moving, blinking, or scrolling content.","A carousel has pause and next/previous buttons."
"2.3.1 Three Flashes or Below","A","Content must not flash more than three times per second.","Avoid rapid flashing animations or content.","A banner ad does not flash rapidly."
"2.4.1 Bypass Blocks","A","Users must be able to skip repeated content.","Add a ""Skip to Content"" link at the top of each page.","A ""Skip to main content"" link is the first focusable element."
"2.4.2 Page Titled","A","Pages must have descriptive titles.","Give each page a unique, descriptive title.","""Contact Us – My Company"" as the page title."
"2.4.3 Focus Order","A","The tab order must be logical and meaningful.","Arrange interactive elements in a logical order.","Tab moves from top to bottom, left to right."
"2.4.4 Link Purpose (In Context)","A","The purpose of each link must be clear from its text or context.","Use descriptive link text or provide context.","""Read our privacy policy"" instead of ""Click here."""
"2.4.5 Multiple Ways","AA","Users must have multiple ways to find pages.","Provide a search, sitemap, or navigation menu.","A site has both a menu and a search bar."
"2.4.6 Headings and Labels","AA","Headings and labels must be clear and descriptive.","Use meaningful headings and labels for all content.","""Product Features"" as a heading above a feature list."
"2.4.7 Focus Visible","AA","Keyboard focus must be clearly visible.","Highlight focused elements with a visible border or background.","A blue outline appears around a focused button."
"2.4.11 Focus Not Obscured (Minimum)","AA","Focused elements must not be hidden by other content.","Ensure focused items are visible, even with sticky headers.","Tabbing to a link does not hide it behind a fixed menu."
"2.5.1 Pointer Gestures","A","Complex gestures must have a single-pointer alternative.","Provide single-click or tap alternatives for gestures.","A map can be zoomed with a button, not just a pinch gesture."
"2.5.2 Pointer Cancellation","A","Users must be able to cancel pointer actions.","Allow users to undo or cancel actions triggered by a click or tap.","A dragged item can be canceled before dropping."
"2.5.3 Label in Name","A","The accessible name must match the visible label.","Ensure screen readers read the same text as the visible label.","A button labeled ""Submit"" has an accessible name of ""Submit."""
"2.5.4 Motion Actuation","A","Functionality must not rely on device motion.","Provide alternative controls for motion-based features.","A game can be controlled with buttons, not just by tilting the device."
"2.5.7 Dragging Movements","AA","Dragging actions must have a simple alternative.","Offer buttons or keyboard controls for drag-and-drop.","A list can be reordered with up/down arrows, not just by dragging."
"2.5.8 Target Size (Minimum)","AA","Clickable targets must be at least 24x24 pixels.","Increase button and link size; add padding if needed.","Small icons are enlarged to at least 24x24 pixels."
"3.1.1 Language of Page","A","The page language must be identified.","Set thelangattribute on the HTML element.","<html lang=""en"">for an English page."
"3.1.2 Language of Parts","AA","Changes in language must be marked for assistive technology.","Use thelangattribute for content in a different language.","A French quote on an English page:<span lang=""fr"">Bonjour</span>."
"3.2.1 On Focus","A","Changing focus must not trigger unexpected actions.","Only trigger actions when users intentionally interact with controls.","Pressing Tab does not submit a form."
"3.2.2 On Input","A","Changing settings must not cause unexpected changes.","Only trigger changes when users explicitly submit or confirm.","Selecting a checkbox does not submit a form automatically."
"3.2.3 Consistent Navigation","AA","Navigation must be consistent across pages.","Keep menus and navigation in the same order and location.","The main menu is always at the top of every page."
"3.2.4 Consistent Identification","AA","Components with the same function must be identified consistently.","Use the same icons, labels, and styling for the same actions.","All ""Download"" buttons look and work the same."
"3.2.6 Consistent Help","A","Help options must be in a consistent location.","Place help links or buttons in the same spot on every page.","A ""Help"" link is always in the top-right corner."
"3.3.1 Error Identification","A","Errors must be clearly identified.","Show clear error messages near the problematic field.","""Please enter a valid email address"" appears below the email field."
"3.3.2 Labels or Instructions","A","Form fields must have clear labels or instructions.","Add visible labels for every input; don’t rely on placeholder text.","""First Name"" label above the input box."
"3.3.3 Error Suggestion","AA","Users must receive suggestions for correcting errors.","Provide helpful suggestions in error messages.","""Password must be at least 8 characters"" if a short password is entered."
"3.3.4 Error Prevention (Legal, Financial, Data)","AA","Users must be able to review and confirm important actions.","Add a review step or confirmation prompt for critical actions.","Before submitting a payment, show a summary and ask for confirmation."
"3.3.5 Help","A","Context-sensitive help must be available for complex forms.","Provide help text or links for complex inputs.","A question mark icon next to a field explains what to enter."
"3.3.6 Error Prevention (All)","AA","For all forms, users must be able to review, correct, and confirm before submission.","Allow users to review and edit before final submission.","A form shows a summary before the final submit button."
"3.3.7 Redundant Entry","A","Users must not be asked to re-enter information unless necessary.","Autofill repeated fields or remember previous entries.","Shipping address auto-fills if already provided as billing address."
"3.3.8 Accessible Authentication (Minimum)","AA","Authentication must not require cognitive function tests unless an alternative is provided.","Allow password managers, copy-paste, or alternative authentication.","Users can paste passwords or use a password manager."
"4.1.1 Parsing","A","Markup must be well-formed and valid.","Use valid HTML and avoid duplicate IDs or malformed tags.","No duplicate IDs in the code."
"4.1.2 Name, Role, Value","A","Custom controls must have proper names, roles, and values.","Use ARIA labels and roles for custom controls.","A custom button usesrole=""button""andaria-label=""Submit""."
"4.1.3 Status Messages","AA","Status messages must be announced to assistive technology.","Use ARIA live regions for dynamic updates.","""Your form was submitted successfully"" is announced by screen readers."